127.0.0.1 - - [06/Jun/2023:12:10:40 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:39:58 +0530] "GET /DataSharing/Data_Owner.jsp?success HTTP/1.1" 200 37845
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:39:58 +0530] "GET /DataSharing/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:39:58 +0530] "GET /DataSharing/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:39:58 +0530] "GET /DataSharing/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:39:58 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/css/perfect-scrollbar.min.css HTTP/1.1" 404 1186
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:39:58 +0530] "GET /DataSharing/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:39:58 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/js/perfect-scrollbar.jquery.min.js HTTP/1.1" 404 1201
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:40:09 +0530] "GET /DataSharing/DO_login.jsp?email=saisanjit.d%40gmail.com&pass=1234 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:40:09 +0530] "GET /DataSharing/otp.jsp HTTP/1.1" 200 35203
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:40:09 +0530] "GET /DataSharing/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:40:09 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/css/perfect-scrollbar.min.css HTTP/1.1" 404 1186
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:40:09 +0530] "GET /DataSharing/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:40:09 +0530] "GET /DataSharing/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:40:09 +0530] "GET /DataSharing/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:40:09 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/js/perfect-scrollbar.jquery.min.js HTTP/1.1" 404 1201
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:41:20 +0530] "GET /DataSharing/ HTTP/1.1" 200 34046
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:41:20 +0530] "GET /DataSharing/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:41:20 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/css/perfect-scrollbar.min.css HTTP/1.1" 404 1186
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:41:20 +0530] "GET /DataSharing/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:41:20 +0530] "GET /DataSharing/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:41:20 +0530] "GET /DataSharing/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:41:20 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/js/perfect-scrollbar.jquery.min.js HTTP/1.1" 404 1201
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:41:24 +0530] "GET /DataSharing/Data_Owner.jsp HTTP/1.1" 200 37772
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:41:24 +0530] "GET /DataSharing/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:41:24 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/css/perfect-scrollbar.min.css HTTP/1.1" 404 1186
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:41:24 +0530] "GET /DataSharing/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:41:24 +0530] "GET /DataSharing/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:41:24 +0530] "GET /DataSharing/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1132
