what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1685466011754
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1685466011755
os,sysinfo,,,"win32",1685466011760
arch,sysinfo,,,"x86",1685466011760
ws,sysinfo,,,"win32",1685466011760
locale,sysinfo,,,"en_IN",1685466011760
processors,sysinfo,,,"12",1685466011760
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1685466011760
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1685466011760
java.specification.name,sysinfo,,,"Java Platform API Specification",1685466011760
java.specification.vendor,sysinfo,,,"Oracle Corporation",1685466011760
java.specification.version,sysinfo,,,"1.7",1685466011760
java.vendor,sysinfo,,,"Oracle Corporation",1685466011760
java.version,sysinfo,,,"1.7.0_21",1685466011760
java.vm.info,sysinfo,,,"mixed mode, sharing",1685466011760
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1685466011760
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1685466011760
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1685466011760
java.vm.specification.version,sysinfo,,,"1.7",1685466011760
java.vm.vendor,sysinfo,,,"Oracle Corporation",1685466011760
java.vm.version,sysinfo,,,"23.21-b01",1685466011760
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1685466013523
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1685466013725
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1685466013728
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1685466013745
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1685466013746
