what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1685465673376
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1685465673378
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1685465673379
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1685465673380
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1685465673381
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1685465673382
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1685465673382
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1685465673386
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1685465673387
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1685465673387
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1685465673387
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1685465673388
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1685465673389
started,bundle,com.amazonaws.eclipse.core,2.0.1.v201311261154,"com.amazonaws.eclipse.core",1685465673389
started,bundle,com.amazonaws.eclipse.elasticbeanstalk,1.0.0.v201311251309,"com.amazonaws.eclipse.elasticbeanstalk",1685465673389
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1685465673391
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1685465673392
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1685465673393
os,sysinfo,,,"win32",1685465673397
arch,sysinfo,,,"x86",1685465673397
ws,sysinfo,,,"win32",1685465673397
locale,sysinfo,,,"en_IN",1685465673397
processors,sysinfo,,,"12",1685465673397
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1685465673397
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1685465673397
java.specification.name,sysinfo,,,"Java Platform API Specification",1685465673397
java.specification.vendor,sysinfo,,,"Oracle Corporation",1685465673397
java.specification.version,sysinfo,,,"1.7",1685465673397
java.vendor,sysinfo,,,"Oracle Corporation",1685465673397
java.version,sysinfo,,,"1.7.0_21",1685465673397
java.vm.info,sysinfo,,,"mixed mode, sharing",1685465673397
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1685465673397
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1685465673397
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1685465673397
java.vm.specification.version,sysinfo,,,"1.7",1685465673397
java.vm.vendor,sysinfo,,,"Oracle Corporation",1685465673397
java.vm.version,sysinfo,,,"23.21-b01",1685465673397
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1685465678748
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1685465678768
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1685465678773
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1685465679074
error,log,,,"Errors occurred during the build.",1685465679081
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1685465679083
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1685465679085
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1685465679114
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1685465679127
